施設名,カテゴリ,住所,市町村,電話番号,緯度,経度,WebサイトURL,営業時間,備考
アピタ飯田店,shopping,長野県飯田市鼎一色456,飯田市,0265-53-6111,,,https://www.uny.co.jp/,9:00〜21:00,大型ショッピングセンター
キラヤ飯田店,shopping,長野県飯田市銀座4丁目7番地,飯田市,0265-22-0010,,,,,食品スーパー
デリシア飯田店,shopping,長野県飯田市育良町1丁目2-1,飯田市,0265-22-4147,,,,9:00〜21:00,食品スーパー
ツルハドラッグ飯田店,shopping,長野県飯田市鼎中平1592-1,飯田市,0265-56-8012,,,,9:00〜22:00,ドラッグストア
飯田市役所,government,長野県飯田市大久保町2534番地,飯田市,0265-22-4511,,,https://www.city.iida.lg.jp/,8:30〜17:15,
飯田市立中央図書館,government,長野県飯田市高羽町5丁目5-1,飯田市,0265-22-0706,,,,9:30〜19:00（土日〜17:00）,火曜休館
高森町役場,government,長野県下伊那郡高森町下市田2183-1,高森町,0265-35-3111,,,,8:30〜17:15,
松川町役場,government,長野県下伊那郡松川町元大島3823,松川町,0265-36-3111,,,,8:30〜17:15,
八十二銀行飯田支店,banking,長野県飯田市本町1丁目15,飯田市,0265-22-3111,,,,9:00〜15:00,
飯田信用金庫本店,banking,長野県飯田市本町1丁目2,飯田市,0265-22-4530,,,,9:00〜15:00,
飯田郵便局,banking,長野県飯田市知久町2丁目10,飯田市,0265-22-0441,,,,9:00〜17:00（ATM〜19:00）,
飯田市福祉センター,welfare,長野県飯田市東栄町3108-1,飯田市,0265-22-2933,,,,8:30〜17:00,
飯田市地域包括支援センター,welfare,長野県飯田市大久保町2534番地,飯田市,0265-22-4511,,,,8:30〜17:15,飯田市役所内
飯田文化会館,leisure,長野県飯田市高羽町5丁目5-1,飯田市,0265-23-3552,,,,9:00〜21:30,
かざこし子どもの森公園,leisure,長野県飯田市丸山町4丁目5500-1,飯田市,0265-59-8080,,,,9:00〜17:00,月曜休園
天龍峡温泉交流館,leisure,長野県飯田市川路天龍峡,飯田市,0265-27-2946,,,,10:00〜20:00,
